name,currency,product_price,price_on_request,price_negotiable,sku,feature,brix,packaging,place_of_origin,model_number,primary_ingredients,additives,flavor,certification,volume,bbd,unlimited_stock,stock_count,product_color,product_weight,product_size,product_dimension,product_description,countries,varients,categories,thumb,gallery,brands,product_expiry,minimal_order,product_condition,location,label_language
MIE ABC SPICY TOMATO SOUP NOODLE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Mie ABC Spicy Tomato Soup from Indonesia, along with food, beverages, and household products. Mixed container, labeling, and stickers are available.",,,Food>Grain Products>Noodles,https://www.artamaja.com/wp-content/uploads/2023/05/MIE-ABC-SELERA-PEDAS-RASA-SUP-TOMAT-PEDAS-70GR.webp,,ABC,,,,,
MIE ABC SELERA PEDAS SPICY GARLIC BUTTER CHEESE NOODLE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Mie ABC Spicy Garlic Butter Cheese Noodle from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Grain Products>Noodles,https://www.artamaja.com/wp-content/uploads/2023/05/MIE-ABC-SELERA-PEDAS-GARLIC-BUTTER-CHEESE-80GR-jpeg-e1685291217961.webp,,ABC,,,,,
MIE ABC CHICKEN ONION NOODLE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Mie ABC Chicken Onion Noodle from Indonesia, along with food, beverages, and household products. Mixed container, labeling, and stickers are available.",,,Food>Grain Products>Noodles,https://www.artamaja.com/wp-content/uploads/2023/05/MIE-RASA-AYAM-BAWANG-65GR-jpeg-e1685291093787.webp,,ABC,,,,,
MIE ABC FRIED NOODLE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Mie ABC Fried Noodle from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Grain Products>Noodles,https://www.artamaja.com/wp-content/uploads/2023/05/MI-ABC-MIE-GORENG-70GR-e1685291019896.webp,,ABC,,,,,
ABC SMOKED BEEF SWEET SOY SAUCE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Smoked Beef Sweet Soy Sauce from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Other Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-MANIS-DAGING-ASAP-135ml.webp,,ABC,,,,,
ABC SPICY SOY SAUCE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Spicy Soy Sauce from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Spicy Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-PEDAS-275ML.png,,ABC,,,,,
ABC SEAFOOD SWEET SOY SAUCE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Seafood Sweet Soy Sauce from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Other Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-MANIS-SEAFOOD-135ML.webp,,ABC,,,,,
ABC SEAFOOD SWEET SOY SAUCE POUCH,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Seafood Sweet Soy Sauce Pouch from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Other Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-MANIS-SEAFOOD-650GR-jpg.webp,,ABC,,,,,
ABC WORCESTERSHIRE SAUCE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Worcestershire Sauce from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Other Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-INGGRIS-195ML.png,,ABC,,,,,
ABC SWEET SOY SAUCE PET,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Sweet Soy Sauce PET from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Other Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-MANIS-PET-600ML.png,,ABC,,,,,
ABC SWEET SOY SAUCE BOTTLE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Sweet Soy Sauce Bottle from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Other Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-MANIS-620ML-BOTTLE.png,,ABC,,,,,
ABC SWEET SOY SAUCE POUCH,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Sweet Soy Sauce Pouch from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Other Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-MANIS-POUCH-520ML.png,,ABC,,,,,
ABC SOY SAUCE EXTRA SPICY,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Soy Sauce Extra Spicy from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Spicy Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-EXTRA-PEDAS-135ML.png,,ABC,,,,,
ABC SOY SAUCE EXTRA SPICY POUCH,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Soy Sauce Extra Spicy Pouch from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Spicy Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-EXTRA-PEDAS-70GR.png,,ABC,,,,,
ABC SALTY SOY SAUCE,,,Price on request,,,,,,,,,,,,,,,,,620 ml,,,"We export ABC Salty Soy Sauce 620ml from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Spicy Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-ASIN-620ML.png,,ABC,,,,,
ABC SALTY SOY SAUCE,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export ABC Salty Soy Sauce from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Spicy Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/ABC-KECAP-ASIN-133ML.png,,ABC,,,,,
HEINZ TOMATO KETCHUP,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Heinz Tomato Ketchup from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Tomato-based Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/HEINZ-TOMATO-KETCHUP-325G.webp,,HEINZ,,,,,
HEINZ TOMATO KETCHUP POUCH,,,Price on request,,,,,,,,,,,,,,,,,,,,"We export Heinz Tomato Ketchup Pouch from Indonesia, along with other products. Mixed container, labeling, and stickers are available.",,,Food>Sauces>Tomato-based Sauces,https://www.artamaja.com/wp-content/uploads/2023/05/HEINZ-TOMATO-KETCHUP-125G-jpeg.webp,,HEINZ,,,,,
